dim,points,k,tau_query,time_ms,recall,status
3,100000,10,0.3,96.18545998819172,2.9999999242136255e-05,ok
3,100000,10,0.3,91.35660901665688,2.9999999242136255e-05,ok
3,100000,10,0.3,91.5831970050931,2.9999999242136255e-05,ok
3,100000,10,0.5,62.31195689179003,2.9999999242136255e-05,ok
3,100000,10,0.5,133.82548419758677,2.9999999242136255e-05,ok
3,100000,10,0.5,134.65066393837333,2.9999999242136255e-05,ok
3,100000,10,0.64,157.37110702320933,2.9999999242136255e-05,ok
3,100000,10,0.64,96.83180204592645,2.9999999242136255e-05,ok
3,100000,10,0.64,158.5166328586638,2.9999999242136255e-05,ok
3,100000,10,0.8,176.98366311378777,2.9999999242136255e-05,ok
3,100000,10,0.8,179.02710707858205,2.9999999242136255e-05,ok
3,100000,10,0.8,176.47024104371667,2.9999999242136255e-05,ok
3,100000,40,0.3,150.894729886204,9.999999747378752e-05,ok
3,100000,40,0.3,83.61830608919263,9.999999747378752e-05,ok
3,100000,40,0.3,150.7089699152857,9.999999747378752e-05,ok
3,100000,40,0.5,192.91176204569638,9.999999747378752e-05,ok
3,100000,40,0.5,191.8229020666331,9.999999747378752e-05,ok
3,100000,40,0.5,195.85189200006425,9.999999747378752e-05,ok
3,100000,40,0.64,216.91965917125344,9.999999747378752e-05,ok
3,100000,40,0.64,219.898812007159,9.999999747378752e-05,ok
3,100000,40,0.64,219.94386799633503,9.999999747378752e-05,ok
3,100000,40,0.8,235.4947328567505,9.999999747378752e-05,ok
3,100000,40,0.8,234.96396001428366,9.999999747378752e-05,ok
3,100000,40,0.8,119.83259511180222,9.999999747378752e-05,ok
3,100000,100,0.3,231.7614140920341,0.00013000000035390258,ok
3,100000,100,0.3,228.6769908387214,0.00013000000035390258,ok
3,100000,100,0.3,231.83490289375186,0.00013000000035390258,ok
3,100000,100,0.5,279.2109069414437,0.00013000000035390258,ok
3,100000,100,0.5,279.54397699795663,0.00013000000035390258,ok
3,100000,100,0.5,279.1696779895574,0.00013000000035390258,ok
3,100000,100,0.64,289.3158949445933,0.00013000000035390258,ok
3,100000,100,0.64,306.27402081154287,0.00013000000035390258,ok
3,100000,100,0.64,306.42061796970665,0.00013000000035390258,ok
3,100000,100,0.8,320.43155189603567,0.00013000000035390258,ok
3,100000,100,0.8,324.6870490256697,0.00013000000035390258,ok
3,100000,100,0.8,321.68299914337695,0.00013000000035390258,ok
5,100000,40,0.3,109.09535991959274,0.00015999999595806003,ok
5,100000,40,0.3,109.16128405369818,0.00015999999595806003,ok
5,100000,40,0.3,66.1766289267689,0.00015999999595806003,ok
5,100000,40,0.5,133.1970419269055,0.00015999999595806003,ok
5,100000,40,0.5,132.93363410048187,0.00015999999595806003,ok
5,100000,40,0.5,130.31301903538406,0.00015999999595806003,ok
5,100000,40,0.64,107.15420893393457,0.00015999999595806003,ok
5,100000,40,0.64,150.46756784431636,0.00015999999595806003,ok
5,100000,40,0.64,150.29750601388514,0.00015999999595806003,ok
5,100000,40,0.8,156.86341002583504,0.00015999999595806003,ok
5,100000,40,0.8,159.44271814078093,0.00015999999595806003,ok
5,100000,40,0.8,156.64538810960948,0.00015999999595806003,ok
3,500000,10,0.3,870.991718955338,1.9999999494757503e-05,ok
3,500000,10,0.3,997.1525769215077,1.9999999494757503e-05,ok
3,500000,10,0.3,770.0059828348458,1.9999999494757503e-05,ok
3,500000,10,0.5,1242.6703569944948,1.9999999494757503e-05,ok
3,500000,10,0.5,999.2907291743904,1.9999999494757503e-05,ok
3,500000,10,0.5,1242.5392488949,1.9999999494757503e-05,ok
3,500000,10,0.64,1141.7714648414403,1.9999999494757503e-05,ok
3,500000,10,0.64,1371.3809258770198,1.9999999494757503e-05,ok
3,500000,10,0.64,1361.4222949836403,1.9999999494757503e-05,ok
3,500000,10,0.8,1469.0592179540545,1.9999999494757503e-05,ok
3,500000,10,0.8,1420.2414620667696,1.9999999494757503e-05,ok
3,500000,10,0.8,1469.2492068279535,1.9999999494757503e-05,ok
3,500000,40,0.3,1289.733663899824,1.9999999494757503e-05,ok
3,500000,40,0.3,1287.3277550097555,1.9999999494757503e-05,ok
3,500000,40,0.3,1105.4962519556284,1.9999999494757503e-05,ok
3,500000,40,0.5,1543.2159241754562,1.9999999494757503e-05,ok
3,500000,40,0.5,1543.2276050560176,1.9999999494757503e-05,ok
3,500000,40,0.5,1311.8287150282413,1.9999999494757503e-05,ok
3,500000,40,0.64,1674.9093160033226,1.9999999494757503e-05,ok
3,500000,40,0.64,1491.686032852158,1.9999999494757503e-05,ok
3,500000,40,0.64,1674.5471921749413,1.9999999494757503e-05,ok
3,500000,40,0.8,1776.692972984165,1.9999999494757503e-05,ok
3,500000,40,0.8,1685.0580170284957,1.9999999494757503e-05,ok
3,500000,40,0.8,1777.2167031653225,1.9999999494757503e-05,ok
3,500000,100,0.3,1715.223141014576,6.399999983841553e-05,ok
3,500000,100,0.3,1680.0874220207334,6.399999983841553e-05,ok
3,500000,100,0.3,1923.7877640407532,6.399999983841553e-05,ok
3,500000,100,0.5,1977.1093770395964,6.399999983841553e-05,ok
3,500000,100,0.5,1924.9570749234408,6.399999983841553e-05,ok
3,500000,100,0.5,2192.427237983793,6.399999983841553e-05,ok
3,500000,100,0.64,2320.657958043739,6.399999983841553e-05,ok
3,500000,100,0.64,2110.1741259917617,6.399999983841553e-05,ok
3,500000,100,0.64,2074.1819669492543,6.399999983841553e-05,ok
3,500000,100,0.8,2419.515903806314,6.399999983841553e-05,ok
3,500000,100,0.8,2422.7806059643626,6.399999983841553e-05,ok
3,500000,100,0.8,2205.2738240454346,6.399999983841553e-05,ok
5,500000,40,0.3,1022.2347390372306,0.00011639999866019934,ok
5,500000,40,0.3,1009.3940920196474,0.00011639999866019934,ok
5,500000,40,0.3,1014.5031311549246,0.00011639999866019934,ok
5,500000,40,0.5,1157.0748551748693,0.00011639999866019934,ok
5,500000,40,0.5,1159.4234451185912,0.00011639999866019934,ok
5,500000,40,0.5,1157.4797090142965,0.00011639999866019934,ok
5,500000,40,0.64,1246.3969411328435,0.00011639999866019934,ok
5,500000,40,0.64,1148.9693999756128,0.00011639999866019934,ok
5,500000,40,0.64,1246.7001939658076,0.00011639999866019934,ok
5,500000,40,0.8,1125.6878830026835,0.00011639999866019934,ok
5,500000,40,0.8,1317.178833996877,0.00011639999866019934,ok
5,500000,40,0.8,1074.757601134479,0.00011639999866019934,ok
2,100000,40,0.3,100.97212297841907,9.999999747378752e-05,ok
2,100000,40,0.3,150.61356709338725,9.999999747378752e-05,ok
2,100000,40,0.3,151.13347000442445,9.999999747378752e-05,ok
2,100000,40,0.5,192.94185587204993,9.999999747378752e-05,ok
2,100000,40,0.5,193.11670609749854,9.999999747378752e-05,ok
2,100000,40,0.5,193.08840297162533,9.999999747378752e-05,ok
2,100000,40,0.64,216.88413294032216,9.999999747378752e-05,ok
2,100000,40,0.64,111.847884953022,9.999999747378752e-05,ok
2,100000,40,0.64,216.002375818789,9.999999747378752e-05,ok
2,100000,40,0.8,234.5619450788945,9.999999747378752e-05,ok
2,100000,40,0.8,162.50009089708328,9.999999747378752e-05,ok
2,100000,40,0.8,235.52346089854836,9.999999747378752e-05,ok
2,500000,40,0.3,1288.2578410208225,1.9999999494757503e-05,ok
2,500000,40,0.3,1080.7289851363748,1.9999999494757503e-05,ok
2,500000,40,0.3,1221.1960451677442,1.9999999494757503e-05,ok
2,500000,40,0.5,1550.389609998092,1.9999999494757503e-05,ok
2,500000,40,0.5,1311.0555820167065,1.9999999494757503e-05,ok
2,500000,40,0.5,1541.64693900384,1.9999999494757503e-05,ok
2,500000,40,0.64,1525.0348739791662,1.9999999494757503e-05,ok
2,500000,40,0.64,1675.7162760477513,1.9999999494757503e-05,ok
2,500000,40,0.64,1666.896432870999,1.9999999494757503e-05,ok
2,500000,40,0.8,1528.2523669302464,1.9999999494757503e-05,ok
2,500000,40,0.8,1772.945760982111,1.9999999494757503e-05,ok
2,500000,40,0.8,1555.1698529161513,1.9999999494757503e-05,ok
4,100000,40,0.3,151.356564136222,9.999999747378752e-05,ok
4,100000,40,0.3,149.95457511395216,9.999999747378752e-05,ok
4,100000,40,0.3,151.1061901692301,9.999999747378752e-05,ok
4,100000,40,0.5,191.3153158966452,9.999999747378752e-05,ok
4,100000,40,0.5,101.76192899234593,9.999999747378752e-05,ok
4,100000,40,0.5,193.21799115277827,9.999999747378752e-05,ok
4,100000,40,0.64,219.75796483457088,9.999999747378752e-05,ok
4,100000,40,0.64,204.04128497466445,9.999999747378752e-05,ok
4,100000,40,0.64,221.25305817462504,9.999999747378752e-05,ok
4,100000,40,0.8,235.43539899401367,9.999999747378752e-05,ok
4,100000,40,0.8,238.47814719192684,9.999999747378752e-05,ok
4,100000,40,0.8,238.78800286911428,9.999999747378752e-05,ok
4,500000,40,0.3,1242.4159641377628,1.9999999494757503e-05,ok
4,500000,40,0.3,1287.5630559865385,1.9999999494757503e-05,ok
4,500000,40,0.3,1281.8040112033486,1.9999999494757503e-05,ok
4,500000,40,0.5,1545.307117048651,1.9999999494757503e-05,ok
4,500000,40,0.5,1343.087175162509,1.9999999494757503e-05,ok
4,500000,40,0.5,1303.5813940223306,1.9999999494757503e-05,ok
4,500000,40,0.64,1677.8850180562586,1.9999999494757503e-05,ok
4,500000,40,0.64,1674.5621571317315,1.9999999494757503e-05,ok
4,500000,40,0.64,1674.3795310612768,1.9999999494757503e-05,ok
4,500000,40,0.8,1566.0346739459783,1.9999999494757503e-05,ok
