dim,points,k,time_ms,recall_set,recall_dist,status
3,100000,10,177.53706127405167,0.8420050144195557,0.844692,ok
3,100000,10,95.75151139870286,0.8420050144195557,0.844692,ok
3,100000,10,94.97252805158496,0.8420050144195557,0.844692,ok
3,100000,40,165.7219477929175,0.9620137214660645,0.96236625,ok
3,100000,40,150.47848178073764,0.9620137214660645,0.96236625,ok
3,100000,40,131.49400195106864,0.9620137214660645,0.96236625,ok
3,100000,100,191.74514897167683,0.986758291721344,0.9868495,ok
3,100000,100,220.48752289265394,0.986758291721344,0.9868495,ok
3,100000,100,216.616943012923,0.986758291721344,0.9868495,ok
5,100000,40,161.31862113252282,0.3835277557373047,0.3841145,ok
5,100000,40,150.42027179151773,0.3835277557373047,0.3841145,ok
5,100000,40,130.07007911801338,0.3835277557373047,0.3841145,ok
2,100000,40,130.82210114225745,0.9620137214660645,0.96236625,ok
2,100000,40,131.353666074574,0.9620137214660645,0.96236625,ok
2,100000,40,130.89072005823255,0.9620137214660645,0.96236625,ok
4,100000,40,132.1082334034145,0.9572612643241882,0.9576045,ok
4,100000,40,131.94203935563564,0.9572612643241882,0.9576045,ok
4,100000,40,131.94661680608988,0.9572612643241882,0.9576045,ok
6,100000,40,133.48832307383418,0.9877697229385376,0.98810725,ok
6,100000,40,134.1128535568714,0.9877697229385376,0.98810725,ok
6,100000,40,133.42820899561048,0.9877697229385376,0.98810725,ok
7,100000,40,134.17418766766787,0.9988269805908203,0.999033,ok
7,100000,40,133.48340056836605,0.9988269805908203,0.999033,ok
7,100000,40,133.1040537916124,0.9988269805908203,0.999033,ok
8,100000,40,154.24736216664314,0.9985989928245544,0.99881225,ok
8,100000,40,140.05885366350412,0.9985989928245544,0.99881225,ok
8,100000,40,132.34415790066123,0.9985989928245544,0.99881225,ok
9,100000,40,131.7958110012114,0.998519241809845,0.998739,ok
9,100000,40,131.6652442328632,0.998519241809845,0.998739,ok
9,100000,40,131.12635491415858,0.998519241809845,0.998739,ok
10,100000,40,132.36920442432165,0.9983569979667664,0.998563,ok
10,100000,40,135.2563938125968,0.9983569979667664,0.998563,ok
10,100000,40,131.78880792111158,0.9983569979667664,0.998563,ok
3,500000,10,2109.2697540298104,0.6444181799888611,0.6468554,ok
3,500000,10,2099.985778797418,0.6444181799888611,0.6468554,ok
3,500000,10,2099.0712610073388,0.6444181799888611,0.6468554,ok
3,500000,40,3311.675172764808,0.8642134070396423,0.86546065,ok
3,500000,40,3292.744267731905,0.8642134070396423,0.86546065,ok
3,500000,40,3296.9893841072917,0.8642134070396423,0.86546065,ok
3,500000,100,3594.008290208876,0.9479238390922546,0.9482599,ok
3,500000,100,3582.9833443276584,0.9479238390922546,0.9482599,ok
3,500000,100,3575.503190048039,0.9479238390922546,0.9482599,ok
5,500000,40,3281.0607561841607,0.2007579505443573,0.20126645,ok
5,500000,40,3279.3457321822643,0.2007579505443573,0.20126645,ok
5,500000,40,3268.565510865301,0.2007579505443573,0.20126645,ok
2,500000,40,3293.050948996097,0.8642134070396423,0.86546065,ok
2,500000,40,3284.225766081363,0.8642134070396423,0.86546065,ok
2,500000,40,3287.1411866508424,0.8642134070396423,0.86546065,ok
4,500000,40,3301.7928902991116,0.8518466353416443,0.85308665,ok
4,500000,40,3285.9654831700027,0.8518466353416443,0.85308665,ok
4,500000,40,3283.9447199366987,0.8518466353416443,0.85308665,ok
6,500000,40,3311.171662993729,0.967658519744873,0.9684046,ok
6,500000,40,3312.9980149678886,0.967658519744873,0.9684046,ok
6,500000,40,3307.998072821647,0.967658519744873,0.9684046,ok
7,500000,40,3312.531977891922,0.9941784143447876,0.996125,ok
7,500000,40,3293.7574172392488,0.9941784143447876,0.996125,ok
7,500000,40,3297.525950707495,0.9941784143447876,0.996125,ok
8,500000,40,3321.745993103832,0.9936476945877075,0.99580575,ok
8,500000,40,3284.137938171625,0.9936476945877075,0.99580575,ok
8,500000,40,3289.7039470262825,0.9936476945877075,0.99580575,ok
9,500000,40,3361.229127738625,0.9935101270675659,0.99566625,ok
9,500000,40,3295.2923690900207,0.9935101270675659,0.99566625,ok
9,500000,40,3288.475362583995,0.9935101270675659,0.99566625,ok
10,500000,40,3379.17618220672,0.9932215213775635,0.9953846,ok
10,500000,40,3305.8509049005806,0.9932215213775635,0.9953846,ok
10,500000,40,3303.9984637871385,0.9932215213775635,0.9953846,ok
