dim,points,k,itopk_size,time_ms,recall_set,recall_dist,status
3,100000,10,32,207.59394066408277,0.949118971824646,0.949611,ok
3,100000,10,32,33.8708246126771,0.9728670120239258,0.972932,ok
3,100000,10,32,33.852099906653166,0.952830970287323,0.95294,ok
3,100000,10,64,64.19070856645703,0.9651880264282227,0.965524,ok
3,100000,10,64,64.46173088625073,0.9686260223388672,0.968644,ok
3,100000,10,64,64.33626357465982,0.9589419960975647,0.958949,ok
3,100000,10,128,121.99656805023551,0.9673600196838379,0.96761,ok
3,100000,10,128,121.74113607034087,0.9895099997520447,0.989511,ok
3,100000,10,128,123.61077917739749,0.963109016418457,0.963116,ok
3,100000,10,256,258.47765570506454,0.990202009677887,0.990321,ok
3,100000,10,256,265.351340174675,0.9477580189704895,0.947956,ok
3,100000,10,256,258.573095779866,0.9830189943313599,0.983023,ok
3,100000,10,512,929.8937530256808,0.9954760074615479,0.995555,ok
3,100000,10,512,924.0735210478306,0.9976059794425964,0.997608,ok
3,100000,10,512,914.829627610743,0.9850009679794312,0.985075,ok
3,100000,40,32,,,,error
3,100000,40,32,,,,error
3,100000,40,32,,,,error
3,100000,40,64,64.9407166056335,0.9707002639770508,0.97079275,ok
3,100000,40,64,64.18307358399034,0.9731692671775818,0.97317575,ok
3,100000,40,64,64.10338310524821,0.9691489934921265,0.969154,ok
3,100000,40,128,123.07359371334314,0.9759777188301086,0.97599125,ok
3,100000,40,128,122.4989271722734,0.9903944730758667,0.99039825,ok
3,100000,40,128,122.20668606460094,0.9808452725410461,0.98097125,ok
3,100000,40,256,257.1818861179054,0.9792714715003967,0.9792815,ok
3,100000,40,256,257.4599119834602,0.995074987411499,0.9950775,ok
3,100000,40,256,258.5721448995173,0.9950724840164185,0.99507625,ok
3,100000,40,512,922.1984958276153,0.9855022430419922,0.985508,ok
3,100000,40,512,927.2945900447667,0.9918259978294373,0.99193475,ok
3,100000,40,512,928.5115608945489,0.9898747205734253,0.9898985,ok
3,100000,100,32,,,,error
3,100000,100,32,,,,error
3,100000,100,32,,,,error
3,100000,100,64,,,,error
3,100000,100,64,,,,error
3,100000,100,64,,,,error
3,100000,100,128,121.55913095921278,0.9575583338737488,0.9575854,ok
3,100000,100,128,122.23595706745982,0.9897190928459167,0.9897246,ok
3,100000,100,128,122.31889506801963,0.9794467091560364,0.9794595,ok
3,100000,100,256,259.5392973162234,0.9949223399162292,0.9949246,ok
3,100000,100,256,259.3383272178471,0.9622405171394348,0.9622525,ok
3,100000,100,256,256.1978311277926,0.9788669347763062,0.9788753,ok
3,100000,100,512,928.4486589021981,0.9945152401924133,0.994519,ok
3,100000,100,512,936.6179718635976,0.9973886013031006,0.9973941,ok
3,100000,100,512,934.2471002601087,0.9903517961502075,0.9903617,ok
5,100000,40,32,,,,error
5,100000,40,32,,,,error
5,100000,40,32,,,,error
5,100000,40,64,92.05606020987034,0.026567749679088593,0.02673675,ok
5,100000,40,64,88.87729095295072,0.033743251115083694,0.0338395,ok
5,100000,40,64,68.22945084422827,0.06137799844145775,0.06139275,ok
5,100000,40,128,131.51245284825563,0.10953725129365921,0.10954625,ok
5,100000,40,128,162.9471331834793,0.0562875010073185,0.05652,ok
5,100000,40,128,153.80338905379176,0.12060975283384323,0.12063875,ok
5,100000,40,256,326.01727824658155,0.12261450290679932,0.12268725,ok
5,100000,40,256,358.50972682237625,0.10021275281906128,0.10023675,ok
5,100000,40,256,469.26186699420214,0.10059025138616562,0.1006115,ok
5,100000,40,512,1209.460956044495,0.10603225231170654,0.106427,ok
5,100000,40,512,1493.182163219899,0.17139874398708344,0.17146875,ok
5,100000,40,512,1381.0419389046729,0.17149275541305542,0.17154375,ok
2,100000,40,32,,,,error
2,100000,40,32,,,,error
2,100000,40,32,,,,error
2,100000,40,64,64.3642651848495,0.9662280082702637,0.9662695,ok
2,100000,40,64,64.51788591220975,0.9498017430305481,0.9499975,ok
2,100000,40,64,64.2025088891387,0.9806742668151855,0.98075825,ok
2,100000,40,128,123.09991102665663,0.9662352204322815,0.96624925,ok
2,100000,40,128,121.56221410259604,0.973502516746521,0.97357925,ok
2,100000,40,128,122.24008608609438,0.9856322407722473,0.98563575,ok
2,100000,40,256,261.32197584956884,0.9866717457771301,0.9866775,ok
2,100000,40,256,258.3273253403604,0.9910020232200623,0.99110325,ok
2,100000,40,256,256.9867209531367,0.9745317697525024,0.9745595,ok
2,100000,40,512,925.838285125792,0.9772794842720032,0.977298,ok
2,100000,40,512,928.0152302235365,0.992649257183075,0.99265675,ok
2,100000,40,512,927.1618570201099,0.9946087598800659,0.99461525,ok
4,100000,40,32,,,,error
4,100000,40,32,,,,error
4,100000,40,32,,,,error
4,100000,40,64,64.19012602418661,0.9499517679214478,0.9499755,ok
4,100000,40,64,64.45013824850321,0.9597227573394775,0.959729,ok
4,100000,40,64,64.67329990118742,0.946378231048584,0.94638575,ok
4,100000,40,128,122.77025822550058,0.9732007384300232,0.973207,ok
4,100000,40,128,122.69745022058487,0.9661232233047485,0.96612825,ok
4,100000,40,128,123.73523227870464,0.9764742255210876,0.97658525,ok
4,100000,40,256,258.5797728970647,0.9879437685012817,0.987946,ok
4,100000,40,256,258.515662048012,0.99201899766922,0.992023,ok
4,100000,40,256,259.8951580002904,0.9811995029449463,0.98120625,ok
4,100000,40,512,936.5693791769445,0.9836900234222412,0.98369725,ok
4,100000,40,512,927.9884868301451,0.9924347400665283,0.99245425,ok
4,100000,40,512,926.358678843826,0.9938497543334961,0.9938525,ok
6,100000,40,32,,,,error
6,100000,40,32,,,,error
6,100000,40,32,,,,error
6,100000,40,64,64.37647389248013,0.1414944976568222,0.141537,ok
6,100000,40,64,62.60120868682861,0.13739749789237976,0.137425,ok
6,100000,40,64,62.12121294811368,0.11193300038576126,0.11195275,ok
6,100000,40,128,119.38806436955929,0.12997449934482574,0.13000675,ok
6,100000,40,128,116.92877812311053,0.13450974225997925,0.13453325,ok
6,100000,40,128,115.76002137735486,0.19456574320793152,0.1946185,ok
6,100000,40,256,221.83627635240555,0.18161100149154663,0.18163675,ok
6,100000,40,256,231.19835183024406,0.17276200652122498,0.172796,ok
6,100000,40,256,212.77823206037283,0.18104399740695953,0.181082,ok
6,100000,40,512,616.660799831152,0.14085374772548676,0.1408795,ok
6,100000,40,512,612.1718590147793,0.1756490021944046,0.17569625,ok
6,100000,40,512,654.9977990798652,0.2048424929380417,0.20491475,ok
7,100000,40,32,,,,error
7,100000,40,32,,,,error
7,100000,40,32,,,,error
7,100000,40,64,68.56457609683275,0.14886699616909027,0.14889075,ok
7,100000,40,64,70.68589422851801,0.18719950318336487,0.18722675,ok
7,100000,40,64,68.86525359004736,0.17594175040721893,0.175959,ok
7,100000,40,128,124.7547441162169,0.21054424345493317,0.21057975,ok
7,100000,40,128,131.15640776231885,0.20576974749565125,0.2058025,ok
7,100000,40,128,127.2684121504426,0.20712174475193024,0.20715425,ok
