3,0,40
3,100000,40
3,500000,40
3,1000000,40
3,1500000,40
3,2000000,40
3,2500000,40
3,3000000,40
3,3500000,40
3,4000000,40
3,4500000,40
3,5000000,40
5,0,40
5,100000,40
5,500000,40
5,1000000,40
5,1500000,40
5,2000000,40
5,2500000,40
5,3000000,40
5,3500000,40
5,4000000,40
5,4500000,40
5,5000000,40
3,0,10
3,100000,10
3,500000,10
3,1000000,10
3,1500000,10
3,2000000,10
3,2500000,10
3,3000000,10
3,3500000,10
3,4000000,10
3,4500000,10
3,5000000,10
3,0,100
3,100000,100
3,500000,100
3,1000000,100
3,1500000,100
3,2000000,100
3,2500000,100
3,3000000,100
3,3500000,100
3,4000000,100
3,4500000,100
3,5000000,100
2,5000000,40
4,5000000,40
6,5000000,40
7,5000000,40
8,5000000,40
9,5000000,40
10,5000000,40
11,5000000,40
12,5000000,40
13,5000000,40
14,5000000,40
15,5000000,40
3,0,40
3,100000,40
3,500000,40
3,1000000,40
3,1500000,40
3,2000000,40
3,2500000,40
3,3000000,40
3,3500000,40
3,4000000,40
3,4500000,40
3,5000000,40
5,0,40
5,100000,40
5,500000,40
5,1000000,40
5,1500000,40
5,2000000,40
5,2500000,40
5,3000000,40
5,3500000,40
5,4000000,40
5,4500000,40
5,5000000,40
3,0,10
3,100000,10
3,500000,10
3,1000000,10
3,1500000,10
3,2000000,10
3,2500000,10
3,3000000,10
3,3500000,10
3,4000000,10
3,4500000,10
3,5000000,10
3,0,100
3,100000,100
3,500000,100
3,1000000,100
3,1500000,100
3,2000000,100
3,2500000,100
3,3000000,100
3,3500000,100
3,4000000,100
3,4500000,100
3,5000000,100
2,5000000,40
4,5000000,40
6,5000000,40
7,5000000,40
8,5000000,40
9,5000000,40
10,5000000,40
11,5000000,40
12,5000000,40
13,5000000,40
14,5000000,40
15,5000000,40
3,0,40
3,100000,40
3,500000,40
3,1000000,40
3,1500000,40
3,2000000,40
3,2500000,40
3,3000000,40
3,3500000,40
3,4000000,40
3,4500000,40
3,5000000,40
5,0,40
5,100000,40
5,500000,40
5,1000000,40
5,1500000,40
5,2000000,40
5,2500000,40
5,3000000,40
5,3500000,40
5,4000000,40
5,4500000,40
5,5000000,40
3,0,10
3,100000,10
3,500000,10
3,1000000,10
3,1500000,10
3,2000000,10
3,2500000,10
3,3000000,10
3,3500000,10
3,4000000,10
3,4500000,10
3,5000000,10
3,0,100
3,100000,100
3,500000,100
3,1000000,100
3,1500000,100
3,2000000,100
3,2500000,100
3,3000000,100
3,3500000,100
3,4000000,100
3,4500000,100
3,5000000,100
2,5000000,40
4,5000000,40
6,5000000,40
7,5000000,40
8,5000000,40
9,5000000,40
10,5000000,40
11,5000000,40
12,5000000,40
13,5000000,40
14,5000000,40
15,5000000,40
3,0,40
3,100000,40
3,500000,40
3,1000000,40
3,1500000,40
3,2000000,40
3,2500000,40
3,3000000,40
3,3500000,40
3,4000000,40
3,4500000,40
3,5000000,40
5,0,40
5,100000,40
5,500000,40
5,1000000,40
5,1500000,40
5,2000000,40
5,2500000,40
5,3000000,40
5,3500000,40
5,4000000,40
5,4500000,40
5,5000000,40
3,0,10
3,100000,10
3,500000,10
3,1000000,10
3,1500000,10
3,2000000,10
3,2500000,10
3,3000000,10
3,3500000,10
3,4000000,10
3,4500000,10
3,5000000,10
3,0,100
3,100000,100
3,500000,100
3,1000000,100
3,1500000,100
3,2000000,100
3,2500000,100
3,3000000,100
3,3500000,100
3,4000000,100
3,4500000,100
3,5000000,100
2,5000000,40
4,5000000,40
6,5000000,40
7,5000000,40
8,5000000,40
9,5000000,40
10,5000000,40
11,5000000,40
12,5000000,40
13,5000000,40
14,5000000,40
15,5000000,40
3,0,40
3,100000,40
3,500000,40
3,1000000,40
3,1500000,40
3,2000000,40
3,2500000,40
3,3000000,40
3,3500000,40
3,4000000,40
3,4500000,40
3,5000000,40
5,0,40
5,100000,40
5,500000,40
5,1000000,40
5,1500000,40
5,2000000,40
5,2500000,40
5,3000000,40
5,3500000,40
5,4000000,40
5,4500000,40
5,5000000,40
3,0,10
3,100000,10
3,500000,10
3,1000000,10
3,1500000,10
3,2000000,10
3,2500000,10
3,3000000,10
3,3500000,10
3,4000000,10
3,4500000,10
3,5000000,10
3,0,100
3,100000,100
3,500000,100
3,1000000,100
3,1500000,100
3,2000000,100
3,2500000,100
3,3000000,100
3,3500000,100
3,4000000,100
3,4500000,100
3,5000000,100
2,5000000,40
4,5000000,40
6,5000000,40
7,5000000,40
8,5000000,40
9,5000000,40
10,5000000,40
11,5000000,40
12,5000000,40
13,5000000,40
14,5000000,40
15,5000000,40
3,0,40
3,100000,40
3,500000,40
3,1000000,40
3,1500000,40
3,2000000,40
3,2500000,40
3,3000000,40
3,3500000,40
3,4000000,40
3,4500000,40
3,5000000,40
5,0,40
5,100000,40
5,500000,40
5,1000000,40
5,1500000,40
5,2000000,40
5,2500000,40
5,3000000,40
5,3500000,40
5,4000000,40
5,4500000,40
5,5000000,40
3,0,10
3,100000,10
3,500000,10
3,1000000,10
3,1500000,10
3,2000000,10
3,2500000,10
3,3000000,10
3,3500000,10
3,4000000,10
3,4500000,10
3,5000000,10
3,0,100
3,100000,100
3,500000,100
3,1000000,100
3,1500000,100
3,2000000,100
3,2500000,100
3,3000000,100
3,3500000,100
3,4000000,100
3,4500000,100
3,5000000,100
2,5000000,40
4,5000000,40
6,5000000,40
7,5000000,40
8,5000000,40
9,5000000,40
10,5000000,40
11,5000000,40
12,5000000,40
13,5000000,40
14,5000000,40
15,5000000,40
3,0,40
3,100000,40
3,500000,40
3,1000000,40
3,1500000,40
3,2000000,40
3,2500000,40
3,3000000,40
3,3500000,40
3,4000000,40
3,4500000,40
3,5000000,40
5,0,40
5,100000,40
5,500000,40
5,1000000,40
5,1500000,40
5,2000000,40
5,2500000,40
5,3000000,40
5,3500000,40
5,4000000,40
5,4500000,40
5,5000000,40
3,0,10
3,100000,10
3,500000,10
3,1000000,10
3,1500000,10
3,2000000,10
3,2500000,10
3,3000000,10
3,3500000,10
3,4000000,10
3,4500000,10
3,5000000,10
3,0,100
3,100000,100
3,500000,100
3,1000000,100
3,1500000,100
3,2000000,100
3,2500000,100
3,3000000,100
3,3500000,100
3,4000000,100
3,4500000,100
3,5000000,100
2,5000000,40
4,5000000,40
6,5000000,40
7,5000000,40
8,5000000,40
9,5000000,40
10,5000000,40
11,5000000,40
12,5000000,40
13,5000000,40
14,5000000,40
15,5000000,40
3,0,40
3,100000,40
3,500000,40
3,1000000,40
3,1500000,40
3,2000000,40
3,2500000,40
3,3000000,40
3,3500000,40
3,4000000,40
3,4500000,40
3,5000000,40
5,0,40
5,100000,40
5,500000,40
5,1000000,40
5,1500000,40
5,2000000,40
5,2500000,40
5,3000000,40
5,3500000,40
5,4000000,40
5,4500000,40
5,5000000,40
3,0,10
3,100000,10
3,500000,10
3,1000000,10
3,1500000,10
3,2000000,10
3,2500000,10
3,3000000,10
3,3500000,10
3,4000000,10
3,4500000,10
3,5000000,10
3,0,100
3,100000,100
3,500000,100
3,1000000,100
3,1500000,100
3,2000000,100
3,2500000,100
3,3000000,100
3,3500000,100
3,4000000,100
3,4500000,100
3,5000000,100
2,5000000,40
4,5000000,40
6,5000000,40
7,5000000,40
8,5000000,40
9,5000000,40
10,5000000,40
11,5000000,40
12,5000000,40
13,5000000,40
14,5000000,40
15,5000000,40
3,0,40
3,100000,40
3,500000,40
3,1000000,40
3,1500000,40
3,2000000,40
3,2500000,40
3,3000000,40
3,3500000,40
3,4000000,40
3,4500000,40
3,5000000,40
5,0,40
5,100000,40
5,500000,40
5,1000000,40
5,1500000,40
5,2000000,40
5,2500000,40
5,3000000,40
5,3500000,40
5,4000000,40
5,4500000,40
5,5000000,40
3,0,10
3,100000,10
3,500000,10
3,1000000,10
3,1500000,10
3,2000000,10
3,2500000,10
3,3000000,10
3,3500000,10
3,4000000,10
3,4500000,10
3,5000000,10
3,0,100
3,100000,100
3,500000,100
3,1000000,100
3,1500000,100
3,2000000,100
3,2500000,100
3,3000000,100
3,3500000,100
3,4000000,100
3,4500000,100
3,5000000,100
2,5000000,40
4,5000000,40
6,5000000,40
7,5000000,40
8,5000000,40
9,5000000,40
10,5000000,40
11,5000000,40
12,5000000,40
13,5000000,40
14,5000000,40
15,5000000,40
3,0,40
3,100000,40
3,500000,40
3,1000000,40
3,1500000,40
3,2000000,40
3,2500000,40
3,3000000,40
3,3500000,40
3,4000000,40
3,4500000,40
3,5000000,40
5,0,40
5,100000,40
5,500000,40
5,1000000,40
5,1500000,40
5,2000000,40
5,2500000,40
5,3000000,40
5,3500000,40
5,4000000,40
5,4500000,40
5,5000000,40
3,0,10
3,100000,10
3,500000,10
3,1000000,10
3,1500000,10
3,2000000,10
3,2500000,10
3,3000000,10
3,3500000,10
3,4000000,10
3,4500000,10
3,5000000,10
3,0,100
3,100000,100
3,500000,100
3,1000000,100
3,1500000,100
3,2000000,100
3,2500000,100
3,3000000,100
3,3500000,100
3,4000000,100
3,4500000,100
3,5000000,100
2,5000000,40
4,5000000,40
6,5000000,40
7,5000000,40
8,5000000,40
9,5000000,40
10,5000000,40
11,5000000,40
12,5000000,40
13,5000000,40
14,5000000,40
15,5000000,40
