algorithm,dim,points,k,memory_mb,status
faiss,3,500000,40,1629.4871039999998,ok
faiss,3,500000,100,1631.584256,ok
faiss,5,500000,40,1633.6814079999997,ok
faiss,2,500000,40,1627.3899519999998,ok
faiss,4,500000,40,1631.5842559999999,ok
faiss,6,500000,40,1635.77856,ok
faiss,7,500000,40,1637.8757119999998,ok
faiss,8,500000,40,1639.972864,ok
faiss,9,500000,40,1642.070016,ok
faiss,10,500000,40,1644.1671679999997,ok
faiss,3,1000000,10,1637.8757119999998,ok
faiss,3,1000000,40,1637.8757119999998,ok
faiss,3,1000000,100,1637.8757119999998,ok
faiss,5,1000000,40,1646.26432,ok
faiss,2,1000000,40,1633.6814079999997,ok
faiss,4,1000000,40,1642.070016,ok
faiss,6,1000000,40,1650.458624,ok
faiss,7,1000000,40,1654.6529279999997,ok
faiss,8,1000000,40,1658.8472319999998,ok
faiss,9,1000000,40,1663.041536,ok
faiss,10,1000000,40,1667.23584,ok
faiss,3,1500000,10,1646.26432,ok
faiss,3,1500000,40,1646.26432,ok
faiss,3,1500000,100,1646.26432,ok
faiss,5,1500000,40,1658.8472319999998,ok
faiss,2,1500000,40,1639.972864,ok
faiss,4,1500000,40,1652.555776,ok
faiss,6,1500000,40,1665.1386879999998,ok
faiss,7,1500000,40,1671.4301439999997,ok
faiss,8,1500000,40,1675.6244479999998,ok
faiss,9,1500000,40,1681.9159039999997,ok
faiss,10,1500000,40,1688.20736,ok
faiss,3,2000000,10,1654.6529279999997,ok
faiss,3,2000000,40,1654.6529279999997,ok
faiss,3,2000000,100,1654.6529279999997,ok
faiss,5,2000000,40,1671.4301439999997,ok
faiss,2,2000000,40,1646.26432,ok
faiss,4,2000000,40,1663.041536,ok
faiss,6,2000000,40,1677.7216,ok
faiss,7,2000000,40,1686.1102079999998,ok
faiss,8,2000000,40,1694.498816,ok
faiss,9,2000000,40,1702.8874239999998,ok
faiss,10,2000000,40,1711.276032,ok
faiss,3,2500000,10,1663.041536,ok
faiss,3,2500000,40,1663.041536,ok
faiss,3,2500000,100,1663.041536,ok
faiss,5,2500000,40,1681.9159039999997,ok
faiss,2,2500000,40,1652.555776,ok
faiss,4,2500000,40,1673.527296,ok
faiss,6,2500000,40,1692.4016639999998,ok
faiss,7,2500000,40,1702.8874239999998,ok
faiss,8,2500000,40,1713.3731839999998,ok
faiss,9,2500000,40,1721.761792,ok
faiss,10,2500000,40,1732.247552,ok
faiss,3,3000000,10,1671.4301439999997,ok
faiss,3,3000000,40,1671.4301439999997,ok
faiss,3,3000000,100,1671.4301439999997,ok
faiss,5,3000000,40,1694.498816,ok
faiss,2,3000000,40,1658.8472319999998,ok
faiss,4,3000000,40,1681.9159039999997,ok
faiss,6,3000000,40,1707.0817279999999,ok
faiss,7,3000000,40,1719.6646399999997,ok
faiss,8,3000000,40,1730.1503999999998,ok
faiss,9,3000000,40,1742.733312,ok
faiss,10,3000000,40,1755.316224,ok
faiss,3,3500000,10,1679.818752,ok
faiss,3,3500000,40,1679.818752,ok
faiss,3,3500000,100,1679.818752,ok
faiss,5,3500000,40,1707.0817279999999,ok
faiss,2,3500000,40,1665.1386879999998,ok
faiss,4,3500000,40,1692.4016639999998,ok
faiss,6,3500000,40,1721.761792,ok
faiss,7,3500000,40,1734.3447039999999,ok
faiss,8,3500000,40,1749.024768,ok
faiss,9,3500000,40,1763.7048319999997,ok
faiss,10,3500000,40,1776.287744,ok
faiss,3,4000000,10,1686.1102079999998,ok
faiss,3,4000000,40,1686.1102079999998,ok
faiss,3,4000000,100,1686.1102079999998,ok
faiss,5,4000000,40,1719.6646399999997,ok
faiss,2,4000000,40,1671.4301439999997,ok
faiss,4,4000000,40,1702.8874239999998,ok
faiss,6,4000000,40,1734.3447039999999,ok
faiss,7,4000000,40,1751.1219199999998,ok
faiss,8,4000000,40,1767.8991359999998,ok
faiss,9,4000000,40,1782.5792,ok
faiss,10,4000000,40,1799.3564159999999,ok
faiss,3,4500000,10,1694.498816,ok
faiss,3,4500000,40,1694.498816,ok
faiss,3,4500000,100,1694.498816,ok
faiss,5,4500000,40,1730.1503999999998,ok
faiss,2,4500000,40,1677.7216,ok
faiss,4,4500000,40,1713.3731839999998,ok
faiss,6,4500000,40,1749.024768,ok
faiss,7,4500000,40,1767.8991359999998,ok
faiss,8,4500000,40,1784.6763519999997,ok
faiss,9,4500000,40,1803.55072,ok
faiss,10,4500000,40,1820.327936,ok
faiss,3,5000000,10,1702.8874239999998,ok
faiss,3,5000000,40,1702.8874239999998,ok
faiss,3,5000000,100,1702.8874239999998,ok
faiss,5,5000000,40,1742.733312,ok
faiss,2,5000000,40,1684.013056,ok
faiss,4,5000000,40,1723.8589439999998,ok
faiss,6,5000000,40,1763.7048319999997,ok
faiss,7,5000000,40,1782.5792,ok
faiss,8,5000000,40,1803.55072,ok
faiss,9,5000000,40,1822.4250879999997,ok
faiss,10,5000000,40,1843.3966079999998,ok
cuvs,3,100000,10,171.96646399999986,ok
cuvs,3,100000,40,29.36012800000003,ok
cuvs,5,100000,40,31.457279999999855,ok
cuvs,2,100000,40,29.36012800000003,ok
cuvs,4,100000,40,27.26297599999998,ok
