algorithm,dim,points,k,memory_mb,status
cuvs,3,3000000,100,72.000512,ok
cuvs,5,3000000,40,,error
cuvs,3,3500000,10,84.000768,ok
cuvs,3,3500000,40,84.000768,ok
cuvs,3,3500000,100,84.000768,ok
cuvs,5,3500000,40,,error
cuvs,3,4000000,10,96.23449600000001,ok
cuvs,3,4000000,40,96.23449600000001,ok
cuvs,3,4000000,100,96.23449600000001,ok
cuvs,5,4000000,40,,error
cuvs,3,4500000,10,108.52608,ok
cuvs,3,4500000,40,108.52608,ok
cuvs,3,4500000,100,,error
cuvs,5,4500000,40,,error
cuvs,3,5000000,10,,error
cuvs,3,5000000,40,,error
cuvs,3,5000000,100,,error
cuvs,5,5000000,40,,error
cuvs,2,5000000,40,,error
cuvs,4,5000000,40,,error
cuvs,6,5000000,40,,error
cuvs,7,5000000,40,,error
cuvs,8,5000000,40,,error
cuvs,9,5000000,40,,error
cuvs,10,5000000,40,,error
ggnn,3,0,10,0.0,empty
ggnn,3,0,40,0.0,empty
ggnn,3,0,100,0.0,empty
ggnn,5,0,40,0.0,empty
ggnn,3,100000,10,1.200128,ok
ggnn,3,100000,40,1.200128,ok
ggnn,3,100000,100,1.200128,ok
ggnn,5,100000,40,2.000384,ok
ggnn,3,500000,10,6.000128,ok
ggnn,3,500000,40,6.000128,ok
ggnn,3,500000,100,6.000128,ok
ggnn,5,500000,40,10.000384,ok
ggnn,3,1000000,10,12.582912,ok
ggnn,3,1000000,40,12.582912,ok
ggnn,3,1000000,100,12.582912,ok
ggnn,5,1000000,40,20.97152,ok
ggnn,3,1500000,10,18.874368,ok
ggnn,3,1500000,40,18.874368,ok
ggnn,3,1500000,100,18.874368,ok
ggnn,5,1500000,40,30.000128,ok
ggnn,3,2000000,10,24.0,ok
ggnn,3,2000000,40,24.0,ok
ggnn,3,2000000,100,24.0,ok
ggnn,5,2000000,40,40.0,ok
ggnn,3,2500000,10,30.000128,ok
ggnn,3,2500000,40,30.000128,ok
ggnn,3,2500000,100,30.000128,ok
ggnn,5,2500000,40,50.331648,ok
ggnn,3,3000000,10,36.000256,ok
ggnn,3,3000000,40,36.000256,ok
ggnn,3,3000000,100,36.000256,ok
ggnn,5,3000000,40,60.817408,ok
ggnn,3,3500000,10,42.000384,ok
ggnn,3,3500000,40,42.000384,ok
ggnn,3,3500000,100,42.000384,ok
ggnn,5,3500000,40,70.000128,ok
ggnn,3,4000000,10,48.234496,ok
ggnn,3,4000000,40,48.234496,ok
ggnn,3,4000000,100,48.234496,ok
ggnn,5,4000000,40,80.0,ok
ggnn,3,4500000,10,54.525952,ok
ggnn,3,4500000,40,54.525952,ok
ggnn,3,4500000,100,54.525952,ok
ggnn,5,4500000,40,90.177536,ok
ggnn,3,5000000,10,60.817408,ok
ggnn,3,5000000,40,60.817408,ok
ggnn,3,5000000,100,60.817408,ok
ggnn,5,5000000,40,100.663296,ok
ggnn,2,5000000,40,40.0,ok
ggnn,4,5000000,40,80.0,ok
ggnn,6,5000000,40,120.0,ok
ggnn,7,5000000,40,140.509184,ok
ggnn,8,5000000,40,160.0,ok
ggnn,9,5000000,40,180.355072,ok
ggnn,10,5000000,40,200.0,ok
